region,variable,Agricultural TFP Index,Gross agricultural production in $1000,Agricultural land in 1000 hectares,Agricultural labor in 1000 persons,Agricultural capital stock in $1000,Farm machinery in Metric horsepower 1000 CV,Fertilizer in metric tonnes
Nigeria,2014,99.0,53822413.87,52552.41844,19218.284,147226.7214,786.6846685,558090.7555
Benin,2014,108.0,3690445.872,3484.899513,1672.88,923.358786,9.924716613,34313.86267
C?te d'Ivoire,2014,97.0,9948419.82,10653.99686,3135.343,6813.71483,392.0199224,148851.1032
Ghana,2014,98.0,11480566.84,7365.345294,4336.642,15380.64916,93.6243607,93924.68007
Guinea,2014,100.0,3637370.76,5337.457084,2351.231,1539.177319,281.742273,14830.51836
Guinea-Bissau,2014,100.0,439416.0,612.4651908,428.448,171.904252,1.056232787,7941.850752
Liberia,2014,103.0,528453.9641,584.9708286,817.658,441.599378,17.2694895,4940.4525
Sierra Leone,2014,108.0,1798095.256,1839.025103,1287.224,1015.566753,5.02206021,4266.766621
Togo,2014,103.0,1343315.752,2305.185974,978.837,576.35868,4.553055957,19554.07902
Cameroon,2014,100.0,8893119.384,6499.302416,4499.515,3470.254864,20.44792263,87900.26901
Central African Republic,2014,100.0,1409096.698,1011.933704,1238.884,723.39506,2.091340833,20664.22702
Congo DR,2014,100.0,10648684.58,12231.57687,16141.257,6461.882433,119.2748972,37794.67857
Congo Republic,2014,97.0,603978.6444,527.4448533,601.245,884.289627,40.76604655,2950.3277
Equatorial Guinea,2014,98.0,79782.45128,92.78524397,150.247,289.276979,9.94066101,146.8530947
Gabon,2014,103.0,473241.3538,304.4395364,158.516,821.261552,82.45198843,7754.097285
Sao Tome and Principe,2014,116.0,35318.0,59.24347632,12.305,40.067939,5.23527638,528.0154096
Burundi,2014,107.0,1860654.219,1342.706294,3564.289,388.921434,9.550524569,23064.82533
Kenya,2014,103.0,11430671.58,6264.061991,11257.681,7863.391295,811.5023034,312964.0349
Rwanda,2014,103.0,2591525.048,2142.206945,3729.792,869.590959,2.351384558,32203.73069
Tanzania,2014,93.0,15924155.95,18425.76942,15409.82,4964.258579,1051.423157,186938.1286
Uganda,2014,103.0,8757492.768,6925.626497,9624.097,3794.87646,286.621049,78876.05131
Djibouti,2014,129.0,63546.0,39.77910365,97.166,13.481385,0.24,630.6091933
Eritrea,2014,105.0,392443.0,753.5966161,922.495,363.627827,26.00667074,7051.125168
Ethiopia,2014,99.0,17761719.91,16989.89448,31010.364,8902.474361,158.6840001,514791.0898
Somalia,2014,100.0,2348989.0,1582.229012,2353.282,638.659878,54.84,20637.63214
South Sudan,2014,97.0,4314846.602,2610.493415,2349.243,2859.494988,0.04,50346.99567
Sudan,2014,97.0,13969357.51,20950.42419,3749.101,9257.642617,1129.911913,241930.8863
Burkina Faso,2014,111.0,4334770.462,6912.22324,1805.669,1377.98491,45.86451485,149872.3439
Cabo Verde,2014,100.0,59459.0,84.98620327,28.438,174.357404,2.229455681,1402.476367
Chad,2014,100.0,5033157.805,5902.332175,3742.94,1226.893278,10.37666834,39801.77257
Gambia,2014,93.0,195020.8626,361.2965324,179.433,143.721914,2.625251637,1127.797838
Mali,2014,102.0,6926039.357,7936.138194,3921.771,1491.002423,82.93191836,163237.9427
Mauritania,2014,101.0,843286.0,1092.210488,319.524,963.791825,18.33073804,8740.997195
Niger,2014,86.0,4554373.698,18401.27066,5112.915,1251.034474,11.11432681,43682.56829
Senegal,2014,86.0,2273482.901,2847.311905,1175.032,1639.175302,44.01863493,77797.6401
Angola,2014,100.0,5538891.176,5609.687031,5230.7,9669.048748,817.0078537,94504.64682
Comoros,2014,103.0,94696.0,105.221016,71.311,250.915898,0.255979803,162.0361278
Madagascar,2014,102.0,5102547.094,4085.204051,7912.045,1715.414554,35.50037003,68280.92045
Malawi,2014,106.0,7011799.728,4468.702061,5022.361,775.334471,69.25990288,186178.9344
Mauritius,2014,102.0,343841.7906,75.72856172,39.326,955.285845,9.614515766,32223.16002
Mozambique,2014,104.0,3605114.451,6358.996308,8043.367,1410.048577,260.9874727,75963.62824
Zambia,2014,105.0,3446101.276,2704.557921,2995.329,2012.980554,265.0377069,208741.1082
Zimbabwe,2014,103.0,2322668.495,2615.730388,4129.789,8545.951705,1142.072034,116538.062
Botswana,2014,90.0,453987.0,606.5396531,176.374,190.467436,159.5955403,26168.801
Eswatini,2014,99.0,462087.0085,244.7644349,36.078,628.912127,62.83991366,1863.190221
Lesotho,2014,99.0,273694.6279,238.4731725,328.065,65.71985,62.06025343,2576.938543
Namibia,2014,97.0,530116.8996,1169.468425,209.124,985.648614,179.3838934,10442.72742
South Africa,2014,106.0,21812878.11,14953.48855,726.817,21136.23092,3688.950667,853737.5665
Belize,2014,110.0,306227.7933,113.6068975,25.368,149.158278,61.01226403,30155.83791
Costa Rica,2014,104.0,4536500.158,656.3886,237.796,7592.98018,295.6353431,244130.6677
El Salvador,2014,106.0,1580683.891,914.5324324,479.529,2719.795155,172.4616548,119175.0733
Guatemala,2014,97.0,8228957.972,2252.907457,1905.263,10533.9844,293.9006197,448253.0085
Honduras,2014,97.0,3129404.171,1668.569632,1047.044,3163.928443,239.69175,177332.0528
Mexico,2014,99.0,56581107.33,31047.58735,6887.931,13942.85722,10815.28,2606662.196
Nicaragua,2014,107.0,2638904.593,2007.946411,833.193,2133.467849,163.0482375,113919.5924
Panama,2014,104.0,1516434.66,814.2999714,277.028,1855.972286,457.4376779,49205.5394
Bahamas,2014,100.0,52041.76919,12.68557306,4.541,222.110727,4.741500763,1957.182458
Cuba,2014,98.0,4645990.365,3997.070743,939.118,3044.219192,3052.08,217770.5607
Dominican Republic,2014,98.0,4486939.158,1382.831737,462.041,6074.246238,79.97675809,170273.3328
Haiti,2014,102.0,2083316.386,1425.314993,1223.644,1488.534655,6.196814292,23126.42637
Jamaica,2014,96.0,785098.5548,241.0379528,219.112,764.639259,121.5083286,20341.29483
Lesser Antilles,2014,98.0,456966.509,131.9503274,70.139,254.401868,141.6789554,5503.551172
Puerto Rico (USA),2014,101.0,397938.843,95.32713683,12.425,1510.177892,123.8644032,19427.72255
Trinidad and Tobago,2014,127.0,192473.409,51.59056262,23.854,35.95334,179.0429359,17245.27313
French Guiana (France),2014,99.0,46698.01042,22.51939404,12.0,30.94727091,18.512,141.8940796
Guyana,2014,87.0,561199.4998,562.209977,44.648,493.293482,150.8070715,29056.19878
Suriname,2014,103.0,209049.1916,112.8292616,14.599,663.926615,46.64375421,14557.52857
Venezuela,2014,99.0,8936054.425,4502.414033,915.19,5922.018833,2071.045609,920681.7183
Bolivia,2014,88.0,6038811.991,5962.342129,1549.272,4113.736785,300.9607273,133621.9711
Colombia,2014,100.0,22477389.5,6612.229832,3631.784,14492.70659,939.3750414,1212205.401
Ecuador,2014,97.0,11454925.91,4011.086224,1760.118,8851.677122,670.5929252,468271.0382
Peru,2014,102.0,14960589.26,8577.847458,4517.021,9502.990428,557.336546,572035.977
Brazil,2014,96.0,223517905.1,74049.61719,10039.0,212591.9922,43083.61111,15767131.77
Argentina,2014,91.0,65685576.2,43652.94653,1073.9975,58704.55361,10906.66853,1658388.282
Chile,2014,103.0,16689949.12,3200.546209,764.722,14540.90724,2220.412719,541030.0476
Paraguay,2014,98.0,8992799.64,5385.025835,666.016,3702.460214,1220.169964,437209.6971
Uruguay,2014,104.0,6401143.796,2885.699793,149.486,5490.874128,1523.371877,362101.6595
Japan,2014,98.0,29165157.82,5847.365177,2300.0,152705.1265,75731.91424,1212037.049
"Korea, Republic",2014,100.0,17266869.04,2101.271548,1435.413,58090.86259,19726.22389,850717.446
Taiwan,2014,105.0,8315395.222,1005.332512,549.0,8929.682988,1153.324,324675.5653
China,2014,99.0,948203223.9,191960.8117,227908.856,1082768.326,1469158.396,54922338.85
"Korea, DPR",2014,101.0,5893623.164,3372.443193,7045.99,3905.7671,2568.0,248733.3015
Mongolia,2014,80.0,1652882.0,7723.411893,337.968,3085.746954,199.0660363,142417.0473
Brunei Darussalam,2014,113.0,68503.58626,10.82631819,1.046,230.415001,2.635962886,4370.185254
Cambodia,2014,95.0,6615955.928,4211.028498,3837.23,2778.322816,876.4427552,164158.4519
Indonesia,2014,98.0,103407802.3,50883.90833,39904.349,166281.9174,4265.621801,6825668.327
Laos,2014,89.0,4470041.99,2053.608249,2270.039,1874.263418,143.6238467,55026.29599
Malaysia,2014,97.0,17953061.47,8100.978094,1716.975,62872.68822,3524.776742,2210713.618
Myanmar,2014,98.0,33281467.98,13798.30981,11214.60209,8958.928412,4724.149437,598651.8929
Philippines,2014,99.0,34840249.18,12107.7017,11788.555,41155.7301,42746.0761,1085144.328
Thailand,2014,104.0,50313283.97,25422.28056,12732.721,69697.17451,35573.82291,2725547.026
Timor-Leste,2014,90.0,206611.0144,260.6747452,202.005,406.408833,15.41566087,5562.806982
Vietnam,2014,102.0,57302278.63,13174.84673,25164.538,23749.84145,15907.56156,3040037.665
Fiji,2014,96.0,237373.2993,262.4353509,72.067,276.186371,357.2704964,9079.422375
New Caledonia (France),2014,91.0,47133.4754,25.74152797,2.456,182.905457,81.38,2267.965887
Papua New Guinea,2014,100.0,3625749.506,1010.747923,1421.343,3257.873954,91.11350998,47092.67493
Solomon Islands,2014,96.0,131674.0223,103.9525441,119.316,268.160264,0.619883969,511.9939785
Vanuatu,2014,104.0,107154.4261,147.3758568,69.13,200.502042,4.299487288,1541.19487
Micronesia,2014,99.0,61416.67673,75.69911874,37.196,142.21712,8.20533494,709.7331698
Polynesia,2014,104.0,164968.0137,134.0436038,40.397,234.66251,32.9528878,3478.638423
Bangladesh,2014,100.0,39947112.64,18310.71859,26021.562,19436.39626,16419.27252,2555614.579
Bhutan,2014,107.0,276486.4567,194.6292582,178.706,234.690269,8.357251279,3426.325932
India,2014,102.0,386483042.1,294330.9596,205046.369,498649.5529,287783.9363,27777474.05
Nepal,2014,100.0,8882185.664,4860.856563,9582.085,3653.286967,1892.680141,221770.0757
Pakistan,2014,100.0,61515575.46,67072.61787,22949.86,92384.27682,23381.21781,5003835.068
Sri Lanka,2014,91.0,4541040.191,3444.889928,2223.108,11939.11867,1883.779743,380677.25
Armenia,2014,92.0,1899926.12,899.6041127,394.765,479.981017,626.0959026,12176.27039
Azerbaijan,2014,102.0,4092247.339,4559.975641,1687.895,6068.659385,942.9623686,33279.97716
Georgia,2014,101.0,1157214.776,1224.892072,778.018,1183.281224,1086.527603,47604.7898
Bahrain,2014,84.0,108129.4344,11.1943273,8.072,103.169383,0.201601062,2090.824205
Cyprus,2014,99.0,478309.8025,170.3610378,22.477,1820.110564,481.2617104,29879.00498
Iran,2014,97.0,42339879.9,32778.64276,3907.369,36461.74567,12029.76254,1332303.502
Iraq,2014,155.0,5147127.023,11091.60814,1691.088,5014.103075,3628.36563,253727.2906
Israel,2014,98.0,4335178.208,831.5854449,38.657,6270.762729,1061.10065,89345.30731
West Bank and Gaza,2014,120.0,735907.0,318.7149081,91.12,1527.407146,238.1228189,861.4346091
Jordan,2014,87.0,1885975.077,510.3317032,58.432,2543.604271,309.0843842,28146.70432
Kuwait,2014,100.0,569558.4844,48.59584203,43.458,462.614231,3.91648584,13190.9503
Lebanon,2014,102.0,1777431.165,430.031155,262.007,1701.161024,314.8216536,38530.22712
Oman,2014,104.0,757866.3455,212.8147272,97.742,815.430353,6.690613835,20038.74892
Qatar,2014,75.0,92503.88478,51.28893374,24.239,61.30331371,3.529266305,5322.409429
Saudi Arabia,2014,94.0,4719286.513,10271.95293,622.663,15318.01355,342.3879473,295796.3209
Syria,2014,71.0,6310053.256,8057.09454,633.702,4181.739775,4069.42,33674.77927
Turkey,2014,96.0,61003157.77,32759.15517,5451.393,97340.89943,45865.95589,2253750.58
United Arab Emirates,2014,100.0,958891.6968,223.7084056,145.239,3499.618818,2.261170723,30372.1974
Yemen,2014,95.0,3016489.0,3082.394888,1418.259,1999.05952,228.9518929,37194.21494
Afghanistan,2014,105.0,6045594.894,11529.77344,3747.084,6419.524598,12.39751851,132946.6181
Kyrgyzstan,2014,88.0,2964937.709,2501.645097,727.331,1218.361776,1065.195902,70889.96077
Tajikistan,2014,95.0,2896022.488,1698.541371,969.5042955,1661.870619,679.2872085,65372.823
Turkmenistan,2014,100.0,4143953.903,4566.243664,922.8682134,2746.242568,2586.172351,484797.4156
Uzbekistan,2014,99.0,21330071.91,8812.139772,3551.021,13992.97372,7153.616738,995866.6793
Algeria,2014,99.0,13446951.25,18511.50918,1090.969,19383.04794,5044.359828,259275.8818
Egypt,2014,102.0,37527243.74,29026.32043,6694.0,26037.85921,4735.029998,1476226.834
Libya,2014,97.0,1778102.301,5098.436564,348.904,7381.97304,1154.330567,46164.82687
Morocco,2014,89.0,14420764.05,21307.72982,4016.81,20732.62543,2238.412406,508994.9528
Tunisia,2014,80.0,5575234.622,8305.443519,502.846,7492.179528,1847.172666,145742.7675
Belarus,2014,97.0,11395527.48,6065.072239,472.648,19481.16815,2298.500256,1415181.812
Kazakhstan,2014,94.0,13912930.4,48487.02174,1910.741,9106.025061,2140.063673,266740.6254
Moldova,2014,132.0,2603862.245,2128.793185,157.715,817.930286,1775.832222,72328.71075
Russian Federation,2014,100.0,87416238.44,134560.9475,4810.593,108519.1783,12639.44272,3461851.754
Ukraine,2014,100.0,45586607.99,35636.36168,2669.9,23847.77201,15426.06826,1801483.95
Albania,2014,99.0,2012902.221,942.5996903,431.847,4037.790298,321.7536438,72501.04612
Bulgaria,2014,107.0,5140261.188,3811.14187,208.933,5076.947976,2806.823887,484330.935
Czechia,2014,107.0,5996421.232,2646.75616,136.717,12554.2142,3262.256976,528222.9519
Slovakia,2014,110.0,2342786.953,1463.484385,82.642,11837.71044,1123.967406,178745.3846
Hungary,2014,106.0,9545210.926,4679.97341,190.993,22370.20294,5159.654817,558557.1186
Poland,2014,104.0,31202132.74,11677.59124,1937.1,21773.10674,82998.59344,2167756.49
Romania,2014,103.0,15162317.38,11433.21059,2448.865,31248.43343,8199.367942,918292.0428
Croatia,2014,91.0,2521583.192,963.8554237,149.011,7089.612567,1203.410106,197455.1302
Slovenia,2014,89.0,947959.8959,275.5302022,88.709,3845.679827,4395.717754,66927.82036
Bosnia and Herzegovina,2014,91.0,1263135.546,1212.117432,171.754,1063.729419,1279.368012,77926.06399
North Macedonia,2014,91.0,1201624.222,599.3139452,128.105,742.178401,2153.46185,37229.26151
Montenegro,2014,103.0,153557.9508,35.45745353,12.319,422.060476,5.168841019,7457.65521
Serbia,2014,103.0,6392372.819,2904.811164,625.103,7196.627553,16743.84359,322888.4609
Estonia,2014,92.0,936674.5979,686.8529535,21.97,2580.95078,858.7930315,93547.16615
Latvia,2014,82.0,1472917.858,1276.87046,76.42,5264.347326,2317.971206,115323.8709
Lithuania,2014,87.0,3135204.62,2437.802068,149.9,5278.074705,4909.869359,300753.8912
Finland,2014,99.0,3277978.677,2237.293703,103.664,22472.85821,6538.916144,251345.1134
Iceland,2014,94.0,205477.1589,286.0920154,8.039,2071.196423,464.6710094,25197.4743
Norway,2014,96.0,8409143.199,827.7561988,58.916,24114.18787,3817.72556,212373.7227
Sweden,2014,101.0,4764825.46,2625.504128,93.72,48115.17217,6015.233696,310096.4476
Greece,2014,94.0,11458711.84,5086.302456,479.886,17581.41318,11270.71731,350136.1222
Italy,2014,93.0,37953091.29,13433.87313,811.748,180927.6666,46392.07031,1289023.754
Malta,2014,104.0,127950.3149,14.31402367,5.04,215.250726,95.47095712,5434.143332
Portugal,2014,86.0,5875374.935,2553.171262,265.2,17252.28751,7810.41427,213277.6121
Spain,2014,96.0,47298559.11,21886.93074,735.909,101365.009,29246.58789,2269379.894
Austria,2014,97.0,6398318.716,1570.749442,198.926,51089.35924,11768.81753,302465.593
Belgium,2014,100.0,9371044.143,891.4302025,56.84,10221.22165,3523.386663,393452.9992
Luxembourg,2014,90.0,261713.0,70.45339428,3.428,2527.902931,249.8727494,22364.39988
Denmark,2014,100.0,9686149.581,2569.382574,65.915,32511.75741,3296.584137,463349.7876
France,2014,100.0,61963235.31,20989.57542,742.849,131503.2041,43431.00781,3949625.636
Germany,2014,102.0,55065521.64,12701.22344,569.55,171606.1724,32162.21327,3344754.831
Ireland,2014,95.0,6962086.301,842.8438383,163.64,10895.22967,6194.153786,779392.3252
Netherlands,2014,100.0,17584759.02,1293.442227,174.04,57890.93185,5423.553106,556390.7068
Switzerland,2014,100.0,4044833.607,543.6127065,154.838,55483.85381,4306.834692,134723.5485
United Kingdom,2014,98.0,29003413.07,7347.167588,382.013,68633.79861,15850.75808,2005472.491
Australia,2014,97.0,42740032.29,67549.24717,323.517,108218.7426,16422.93541,2722959.345
New Zealand,2014,95.0,17231503.95,2511.557822,142.8,15305.78441,3720.443985,987058.6222
Canada,2014,97.0,44029486.53,42328.34123,305.135,39794.34257,34811.56,4145697.664
United States,2014,103.0,357753224.4,231660.9239,2235.833333,629435.1219,172831.9191,22358913.06
Nigeria,2015,100.0,55085717.25,53818.71206,19285.227,156758.5987,791.3211524,440053.0711
Benin,2015,100.0,3330950.423,3536.941513,1707.079,967.688685,10.15270541,13295.69891
C?te d'Ivoire,2015,100.0,10947129.34,12170.07186,3153.145,7022.752902,399.6819451,155336.1311
Ghana,2015,100.0,11570091.31,7288.536042,3838.281,15491.67716,83.81093198,132917.0758
Guinea,2015,100.0,3803162.105,5550.361084,2395.221,1662.927143,288.1782751,15466.31951
Guinea-Bissau,2015,100.0,465015.0,657.0540926,437.065,182.47892,1.077526513,7909.613019
Liberia,2015,100.0,547522.4154,618.1299531,836.22,481.867458,17.83130314,4918.354629
Sierra Leone,2015,100.0,1682178.557,1705.374103,1342.293,1076.513434,5.174073318,4801.172608
Togo,2015,100.0,1287916.345,2119.572974,949.979,587.233207,4.548448192,25131.8442
Cameroon,2015,100.0,9374721.817,6914.866416,4535.542,3695.695178,20.70589971,105379.7298
Central African Republic,2015,100.0,1401439.698,1019.814704,1233.776,697.161117,2.09172852,21595.53698
Congo DR,2015,100.0,10763634.25,12406.95887,16522.467,6403.534276,121.9491768,38869.19545
Congo Republic,2015,100.0,627386.2194,516.2798533,606.763,920.048522,41.1325576,3044.540118
Equatorial Guinea,2015,100.0,83931.45128,95.45024397,160.281,297.090863,10.54600733,148.5962633
Gabon,2015,100.0,478581.3538,305.8077353,163.24,835.531326,84.946933,13459.4304
Sao Tome and Principe,2015,100.0,30024.0,59.37947632,12.21,39.255383,5.186891191,532.214584
Burundi,2015,100.0,1774973.093,1382.188294,3695.427,401.202427,9.893700219,19516.38745
Kenya,2015,100.0,11676084.33,6216.935991,11607.572,8864.417448,834.7606068,311101.319
Rwanda,2015,100.0,2674007.184,2206.803945,3751.311,943.534866,2.363210236,47600.41405
Tanzania,2015,100.0,16574440.28,18783.11842,15773.778,4442.010824,1076.849244,165326.9082
Uganda,2015,100.0,8775460.738,6992.866497,9983.21,4034.333681,297.0830912,79153.26807
Djibouti,2015,100.0,51913.0,39.47510365,95.947,14.454137,0.24,626.6551171
Eritrea,2015,100.0,388515.0,772.9936161,936.412,388.468821,26.45063015,7654.888471
Ethiopia,2015,100.0,19226582.06,17615.56719,31708.49,10114.66527,161.4262977,605032.3094
Somalia,2015,100.0,2378789.0,1591.514012,2425.411,641.198737,54.84,20434.42085
South Sudan,2015,100.0,4243813.602,2207.040068,2421.782,2812.420659,0.04,50487.25764
Sudan,2015,100.0,12435280.6,14775.76219,3778.3,8240.993439,1106.386282,188203.482
Burkina Faso,2015,100.0,3998634.989,6759.17724,1836.327,1479.633526,45.42469414,154483.6506
Cabo Verde,2015,100.0,60119.0,82.82620327,28.228,181.628731,2.219899141,1419.219859
Chad,2015,100.0,5088134.433,5476.009175,3862.68,1361.598064,10.58432509,44221.83391
Gambia,2015,100.0,224695.8626,418.9005324,182.322,148.886276,2.683903948,1218.396629
Mali,2015,100.0,7274308.205,8651.297194,3705.863,1684.272476,79.69205246,205530.4952
Mauritania,2015,100.0,860799.0,1121.791488,322.984,1018.341933,18.88673904,9389.604444
Niger,2015,100.0,5127844.026,16934.46677,5302.128,1246.487087,11.38340633,34193.39489
Senegal,2015,100.0,2959997.837,3585.250905,1169.569,1735.217554,45.11013196,75263.34823
Angola,2015,100.0,5703755.634,5656.631795,5426.117,10158.39371,841.4071261,93100.58833
Comoros,2015,100.0,93689.0,106.483016,72.125,257.003067,0.262772892,162.6362245
Madagascar,2015,100.0,4972162.09,3937.132051,7992.409,1741.197587,35.67692892,65450.90211
Malawi,2015,100.0,6740913.66,4413.117061,5171.049,801.556435,70.6820613,203133.3216
Mauritius,2015,100.0,335706.8289,76.87956172,38.526,951.666818,9.476392015,30201.14687
Mozambique,2015,100.0,3363316.687,5749.501427,8098.735,1504.801201,260.5729394,51879.55672
Zambia,2015,100.0,3108313.362,2289.828921,3018.073,2008.729103,261.4432003,201323.6726
Zimbabwe,2015,100.0,2191373.832,2573.945319,4184.458,8379.154229,1154.468035,93807.25617
Botswana,2015,100.0,475340.6017,478.4119772,176.34,198.163193,144.5055185,20020.3567
Eswatini,2015,100.0,454859.0085,219.9534349,35.819,642.71341,62.81044548,1852.403872
Lesotho,2015,100.0,257597.0589,192.6091725,327.518,69.248429,59.52560272,2892.144685
Namibia,2015,100.0,515449.8695,983.0084246,171.537,1019.736839,144.6080278,17054.98667
South Africa,2015,100.0,21303876.33,14953.48855,909.999,21006.53709,3856.150667,806863.7742
Belize,2015,100.0,284089.8859,123.6068975,26.215,152.061026,63.51575493,34668.89832
Costa Rica,2015,100.0,4479077.721,677.4009931,261.853,7804.274422,324.0643112,207544.6257
El Salvador,2015,100.0,1540086.666,915.5286927,463.466,2725.55091,167.1313772,190664.6843
Guatemala,2015,100.0,8602402.674,2303.464798,1978.418,10734.25934,305.4861587,371304.3274
Honduras,2015,100.0,3299171.36,1668.569632,1083.775,3245.228001,248.615427,169133.5543
Mexico,2015,100.0,57165004.56,30991.03085,6885.463,14304.98388,11000.32,2472055.288
Nicaragua,2015,100.0,2551842.098,2007.946411,837.016,2201.506325,164.2167209,151834.4809
Panama,2015,100.0,1518356.784,814.2999714,264.472,1954.914882,440.8522718,58172.66645
Bahamas,2015,100.0,52819.62418,12.68557306,4.614,224.399959,4.794688112,2263.066707
Cuba,2015,100.0,4754910.171,3998.473575,930.978,3104.236744,3052.08,182901.2767
Dominican Republic,2015,100.0,4709604.432,1459.831737,418.585,6309.021487,75.93397897,163923.5967
Haiti,2015,100.0,1992497.704,1425.314993,1234.283,1478.259211,6.237213494,23250.77893
Jamaica,2015,100.0,781515.5114,241.0379528,215.226,768.73901,119.6321048,11025.36379
Lesser Antilles,2015,100.0,464161.4799,132.1056598,70.233,253.532442,141.6789554,6137.246335
Puerto Rico (USA),2015,100.0,386681.843,92.37651355,11.799,1505.044338,118.8476221,19357.12676
Trinidad and Tobago,2015,100.0,157330.076,51.59056262,22.493,39.898219,170.1418076,17231.9393
French Guiana (France),2015,100.0,47809.84159,23.02534972,12.0,31.68409332,18.512,139.2894119
Guyana,2015,100.0,652605.7781,572.2603025,43.666,502.48607,149.9212112,30397.00875
Suriname,2015,100.0,201998.8369,115.2975926,14.941,669.385503,47.98612563,15336.7426
Venezuela,2015,100.0,8501596.179,4502.414033,919.499,5634.098707,2070.024947,690713.631
Bolivia,2015,100.0,6645233.84,5921.342129,1329.743,4377.263502,263.2952759,135790.1027
Colombia,2015,100.0,23484812.95,6716.778222,3677.522,14576.55907,954.5027989,1355895.186
Ecuador,2015,100.0,12090416.33,4212.26772,1930.104,9159.8744,732.0445943,425996.8862
Peru,2015,100.0,15119462.95,8604.847458,4558.646,10023.31772,557.6600892,598660.0743
Brazil,2015,100.0,228750248.9,74619.65174,9722.0,212109.8387,43837.01111,14806545.25
Argentina,2015,100.0,71423350.03,42254.50808,1187.342417,59380.21729,10957.68618,1337062.838
Chile,2015,100.0,16472718.15,3224.346209,776.917,14985.18321,2258.173728,551371.1932
Paraguay,2015,100.0,8923628.354,5590.025835,609.345,3755.804779,1134.277018,436696.4347
Uruguay,2015,100.0,6298574.48,2888.236737,142.788,5732.851376,1462.278854,385805.5036
Japan,2015,100.0,29029707.64,5818.875193,2280.0,150302.3375,72703.06618,1100206.048
"Korea, Republic",2015,100.0,17035412.5,2079.249184,1373.47,58728.86844,19083.97017,846147.0772
Taiwan,2015,100.0,7968889.823,1000.980431,555.0,9052.327475,1054.12,339298.028
China,2015,100.0,976359798.9,192180.1949,219198.661,1152425.176,1519076.818,58096845.07
"Korea, DPR",2015,100.0,5648204.126,3372.443193,7074.493,3743.125278,2568.0,205645.9324
Mongolia,2015,100.0,2180848.0,7736.143901,348.411,3382.647014,204.7173359,161383.4463
Brunei Darussalam,2015,100.0,68852.27525,10.82631819,1.422,241.374179,3.205867589,4383.898821
Cambodia,2015,100.0,6926539.271,4322.028498,3607.436,2982.118892,914.5358713,175423.8901
Indonesia,2015,100.0,106164544.3,51183.90833,38936.567,173372.8109,4328.468628,7131261.572
Laos,2015,100.0,5119073.082,2117.118053,2281.855,1981.805267,158.3539366,56789.31241
