region,variable,Agricultural TFP Index,Gross agricultural production in $1000,Agricultural land in 1000 hectares,Agricultural labor in 1000 persons,Agricultural capital stock in $1000,Farm machinery in Metric horsepower 1000 CV,Fertilizer in metric tonnes
Malaysia,2015,100.0,18922584.68,8581.314107,1753.9,65845.74694,3899.519367,2039502.195
Myanmar,2015,100.0,34215454.1,13915.30971,11216.9,9764.713995,5188.694768,620968.3885
Philippines,2015,100.0,34807941.09,12122.2834,11312.372,42618.2972,44876.18771,1017002.453
Thailand,2015,100.0,47931354.8,25422.28056,12271.911,70991.88693,36075.19005,2257056.842
Timor-Leste,2015,100.0,226684.625,260.6747452,196.432,416.165165,19.62712556,6407.506947
Vietnam,2015,100.0,58493606.31,14448.94673,24023.244,26089.26949,17261.9585,3418372.425
Fiji,2015,100.0,241377.2993,262.4353509,68.107,275.034359,372.4127573,12115.75751
New Caledonia (France),2015,100.0,51311.79509,25.71117581,2.401,190.058697,81.38,2282.298972
Papua New Guinea,2015,100.0,3666998.044,1010.747923,1410.443,3527.023541,101.5707216,45933.79256
Solomon Islands,2015,100.0,133595.639,105.4525441,120.082,277.529885,0.618879163,508.5346607
Vanuatu,2015,100.0,101589.8049,147.3758568,68.791,208.918064,4.146976956,1552.260494
Micronesia,2015,100.0,62083.63664,74.69911874,37.192,144.581397,8.20533494,716.3742981
Polynesia,2015,100.0,166488.7626,141.0712653,39.422,236.975672,32.9528878,3801.51509
Bangladesh,2015,100.0,41065911.12,18373.95859,26011.984,20596.17065,17820.28689,2586259.598
Bhutan,2015,100.0,272277.6526,194.6292582,197.192,249.938861,9.719629491,3441.63384
India,2015,100.0,382074682.2,294570.2121,204015.929,517983.3114,307316.8069,28981112.02
Nepal,2015,100.0,8893278.533,4860.856563,9578.203,3785.063554,1986.344939,237396.4271
Pakistan,2015,100.0,61102551.31,67022.61787,22669.347,94584.57829,24241.07739,4408224.569
Sri Lanka,2015,100.0,5143633.229,3444.889928,2244.547,12714.60198,2020.6045,432809.2804
Armenia,2015,100.0,2060242.219,892.0343388,378.953,484.960917,629.0392158,11932.30458
Azerbaijan,2015,100.0,4360571.096,4567.340467,1698.4,6202.834694,949.1833711,70224.30868
Georgia,2015,100.0,1180420.388,1227.577726,760.502,1204.287762,1098.954754,77637.0351
Bahrain,2015,100.0,157883.8277,11.1943273,8.252,107.184016,0.199876852,2408.837827
Cyprus,2015,100.0,506296.0237,187.3752976,20.544,1778.298746,477.8193878,31601.18261
Iran,2015,100.0,41660466.4,32778.64276,4067.461,37538.08411,11623.60256,1045067.676
Iraq,2015,100.0,3079625.621,11072.60814,1727.638,4890.619978,3606.800022,256192.0316
Israel,2015,100.0,4297492.866,860.2788832,36.328,6243.64258,1077.317004,83398.10509
West Bank and Gaza,2015,100.0,604629.0,329.0076116,79.227,1558.6775,251.6668734,825.9278107
Jordan,2015,100.0,2059838.581,502.6317032,58.399,2574.058872,293.0842916,27006.56412
Kuwait,2015,100.0,546673.4314,45.89584203,44.665,459.290337,2.916276537,18078.12769
Lebanon,2015,100.0,1845333.782,425.1571392,266.513,1758.934545,302.5253354,43858.04883
Oman,2015,100.0,836182.1304,249.7763807,103.851,774.548907,8.366058759,22134.34227
Qatar,2015,100.0,129919.3009,53.11360566,23.972,86.09891008,3.591424986,3211.346746
Saudi Arabia,2015,100.0,5211698.341,10333.65293,759.378,16089.03096,325.7822276,341570.1239
Syria,2015,100.0,6788915.213,8057.09454,594.015,4499.086715,3673.816,14559.25924
Turkey,2015,100.0,64724738.09,32756.15517,5454.983,100743.7819,47152.45543,2278463.507
United Arab Emirates,2015,100.0,1014550.806,224.4958072,130.382,3630.107847,2.456128893,34340.68687
Yemen,2015,100.0,2779602.0,3063.394888,1496.364,1842.071971,192.3934921,13435.52351
Afghanistan,2015,100.0,5725662.652,11529.77344,3827.155,6264.859774,12.27789878,160254.3863
Kyrgyzstan,2015,100.0,3205591.747,2501.42836,689.342,1121.57672,1069.59946,59699.92376
Tajikistan,2015,100.0,3086922.276,1695.141371,966.9488861,1671.119277,680.9097086,67377.94785
Turkmenistan,2015,100.0,4235552.903,4566.243664,903.5966751,2806.946205,2606.490118,595053.2233
Uzbekistan,2015,100.0,22717744.5,8828.815963,3604.08,15447.25862,7231.337522,1110987.296
Algeria,2015,100.0,13940606.38,18534.76178,1094.279,20715.68169,5144.547411,287028.9301
Egypt,2015,100.0,38107044.17,29606.13797,6397.0,27197.07157,5104.183757,1664755.924
Libya,2015,100.0,1785496.301,5098.436564,343.902,7321.262828,1072.001495,38401.18816
Morocco,2015,100.0,15551199.35,21721.38634,3924.915,21831.74956,2283.66751,492792.3055
Tunisia,2015,100.0,7127289.738,8317.912846,502.12,7636.034343,1863.72112,162885.9018
Belarus,2015,100.0,11250457.78,6070.055866,463.529,19190.21128,2285.985796,1301244.236
Kazakhstan,2015,100.0,14535171.55,48554.7712,1553.384,8847.376549,2140.435433,291695.0325
Moldova,2015,100.0,2318211.551,2133.604845,338.287,728.2011329,1773.140503,81425.07192
Russian Federation,2015,100.0,89638046.22,134560.9475,4852.766,110417.4316,12566.96663,3808890.771
Ukraine,2015,100.0,43647754.81,35639.70249,2508.8,23429.86565,15172.72181,1719813.683
Albania,2015,100.0,2076089.145,942.5202574,446.937,4117.764176,323.1702536,74174.55605
Bulgaria,2015,100.0,4971044.503,3845.659509,207.86,5399.375997,2877.526561,458742.3296
Czechia,2015,100.0,5739613.024,2645.590245,147.487,12711.29631,3219.261357,589748.7695
Slovakia,2015,100.0,2008620.707,1452.470217,77.05,12122.58566,1087.123823,198858.9886
Hungary,2015,100.0,9151768.159,4692.624274,205.989,22482.16731,5131.536694,548326.4394
Poland,2015,100.0,29585712.18,11686.08946,1937.1,22446.21303,83022.16688,2279115.493
Romania,2015,100.0,14142527.46,11435.84735,2185.206,30920.37193,8265.229196,1032343.607
Croatia,2015,100.0,2595444.32,993.0682965,147.02,6949.197823,1250.609156,189367.9542
Slovenia,2015,100.0,987729.2673,276.4637826,65.378,3858.93719,4411.943452,64962.5586
Bosnia and Herzegovina,2015,100.0,1411074.396,1227.494113,172.744,1068.099428,1307.584144,77168.00807
North Macedonia,2015,100.0,1311339.637,602.1256048,126.802,737.728206,2183.139235,36510.16797
Montenegro,2015,100.0,161395.5722,35.63060289,17.194,433.091244,5.187809356,7444.575331
Serbia,2015,100.0,6158144.548,2899.856557,619.146,7125.005216,16801.97581,328208.8729
Estonia,2015,100.0,1069469.77,707.6656141,20.28,2648.229654,891.0675914,105853.1215
Latvia,2015,100.0,1779518.41,1297.522938,77.87,5380.728036,2376.163336,146685.9064
Lithuania,2015,100.0,3495833.194,2282.145915,150.8,5606.978043,4561.235235,308949.2082
Finland,2015,100.0,3236793.118,2248.288002,102.558,22050.46569,6437.977719,252440.9648
Iceland,2015,100.0,214179.0756,285.8920154,7.762,2167.850212,460.3611691,24232.08594
Norway,2015,100.0,8662020.243,826.8090792,52.962,23938.12132,3725.827272,212169.3922
Sweden,2015,100.0,4894190.095,2621.037978,97.874,48389.53195,5950.88497,319432.5309
Greece,2015,100.0,12121978.32,5044.445945,465.703,17157.5847,11248.80302,339830.456
Italy,2015,100.0,40675341.48,13386.20808,842.84,175804.4968,45456.39082,1305754.786
Malta,2015,100.0,127886.7161,14.31402367,5.04,223.114342,98.57721142,5707.444106
Portugal,2015,100.0,6728692.369,2527.098875,258.28,17599.45354,7815.855979,220121.095
Spain,2015,100.0,49686737.62,21886.68984,736.759,102336.5515,29007.01685,2254210.729
Austria,2015,100.0,6106297.986,1564.207136,187.959,51122.57734,11623.62932,284004.9267
Belgium,2015,100.0,9341609.554,903.0695152,57.12,10332.73155,3462.244226,401203.103
Luxembourg,2015,100.0,276297.0,70.6518696,2.455,2428.117718,245.6629452,22675.70227
Denmark,2015,100.0,9819096.247,2463.684779,67.292,31895.80435,3162.498428,491961.0988
France,2015,100.0,61743714.0,21098.52232,708.615,130434.0166,42938.02217,3904645.345
Germany,2015,100.0,53096303.99,12680.99923,560.507,170648.778,31701.35602,3158188.974
Ireland,2015,100.0,7320304.232,828.4207042,163.63,11280.48512,6078.654339,789171.4307
Netherlands,2015,100.0,18052679.25,1295.702146,177.983,58417.87443,5370.444117,589882.2361
Switzerland,2015,100.0,3921037.607,541.3113567,151.89,52981.12363,4249.948069,133068.7627
United Kingdom,2015,100.0,29168578.24,7145.590847,352.735,68141.94191,15603.64875,1987787.577
Australia,2015,100.0,42293357.26,64247.88918,311.3,104568.4158,15909.2297,2696774.083
New Zealand,2015,100.0,17568484.53,2378.119861,143.3,15646.7163,3783.641435,945231.6677
Canada,2015,100.0,46049377.96,42561.57893,294.937,39231.55544,35250.36,4172098.5
United States,2015,100.0,352330463.2,232283.81,2422.916667,640050.0,171608.2552,22463328.49
Nigeria,2016,99.0,58194423.4,59149.17563,18780.584,164727.4867,775.5011698,602116.6233
Benin,2016,104.0,3726762.969,3388.197513,1740.254,1008.804756,10.29440531,41187.72524
C?te d'Ivoire,2016,97.0,10648266.53,11945.19786,3171.288,7297.990292,400.417432,148922.1562
Ghana,2016,101.0,11747036.08,7333.105044,3847.516,15875.69442,83.75337019,123127.1768
Guinea,2016,100.0,3971165.535,5676.030084,2428.256,1798.419452,292.9035339,15657.92048
Guinea-Bissau,2016,97.0,461475.3009,640.8519324,444.884,195.050142,1.109028632,7509.192017
Liberia,2016,97.0,628916.0171,880.720054,868.6,521.352085,18.80023207,5767.589112
Sierra Leone,2016,96.0,1636653.557,1871.929103,1352.388,1126.785274,5.135932621,5415.412881
Togo,2016,97.0,1330886.548,2254.642974,908.775,603.238634,4.622407409,54101.65666
Cameroon,2016,101.0,9651018.648,6881.478416,4584.856,3934.640778,20.97469616,95829.51702
Central African Republic,2016,102.0,1442203.319,1060.065704,1239.155,673.615316,2.116773345,22913.84253
Congo DR,2016,99.0,10746942.3,12633.45887,16991.571,6408.667795,124.8502464,35205.30752
Congo Republic,2016,99.0,636018.9449,517.0408533,621.032,949.674675,42.15184275,3243.988241
Equatorial Guinea,2016,99.0,85450.45128,97.95734809,168.211,299.754391,10.97137047,147.7555197
Gabon,2016,99.0,487341.3538,313.8699032,166.555,863.842663,86.82698514,13884.80627
Sao Tome and Principe,2016,134.0,39993.0,59.05147632,12.117,38.755541,4.993470651,534.1719156
Burundi,2016,101.0,1928595.12,1516.072294,3826.102,411.91086,10.31686637,27702.37342
Kenya,2016,95.0,11712812.5,6425.156991,11957.521,9916.57219,860.8442768,348234.1425
Rwanda,2016,98.0,2688252.535,2286.332945,3799.18,1039.403497,2.40083087,38685.6419
Tanzania,2016,92.0,14830347.71,16692.43042,16144.183,4359.630318,1089.460658,213090.5779
Uganda,2016,91.0,8056567.254,6514.881497,10419.256,4267.073876,306.7482236,85409.5325
Djibouti,2016,135.0,71341.0,39.60010365,94.666,15.845464,0.24,624.452433
Eritrea,2016,98.0,391958.0,768.1446161,937.042,415.9428,26.4983942,8026.137744
Ethiopia,2016,99.0,19993010.33,17905.64119,32390.138,11419.51887,164.4554388,602483.0277
Somalia,2016,98.0,2265528.0,1426.053012,2503.894,644.232004,54.84,20281.22061
South Sudan,2016,102.0,4300145.602,2090.648721,2458.103,2849.752478,0.04,50606.42089
Sudan,2016,95.0,14231023.51,21646.61519,3805.432,9431.051473,1170.267386,283520.6384
Burkina Faso,2016,97.0,4154040.726,7324.97724,1852.649,1581.528622,45.46235671,188766.5332
Cabo Verde,2016,98.0,59665.0,83.14020327,27.769,187.9672,2.186443439,1431.20969
Chad,2016,102.0,5581397.628,6044.492175,4011.344,1469.989311,11.06390528,46995.92753
Gambia,2016,94.0,211766.8626,394.9485324,185.953,153.673561,2.771173067,1255.22558
Mali,2016,104.0,8321846.978,9311.809194,3950.736,1894.396797,85.9313037,249092.5817
Mauritania,2016,98.0,870834.0,1134.363488,328.124,1084.430785,19.40695971,9668.848504
Niger,2016,104.0,5508008.026,18269.51289,5485.656,1240.310907,11.85236505,35456.54587
Senegal,2016,94.0,2684127.328,2936.407905,1175.371,1853.947924,44.53222118,90882.94219
Angola,2016,95.0,5815284.706,6794.60917,5624.475,10623.17859,889.4644641,89729.65981
Comoros,2016,97.0,95443.0,118.778016,72.682,262.292031,0.268842362,164.7430644
Madagascar,2016,101.0,5061635.385,3951.607051,8155.716,1777.502152,36.40796076,61563.3767
Malawi,2016,99.0,6588576.624,4332.345061,5326.89,822.482312,72.1143619,140146.9309
Mauritius,2016,101.0,326866.8005,75.42656172,37.294,944.204329,9.245408205,29619.15216
Mozambique,2016,96.0,3377513.501,6045.662663,8289.215,1611.786794,267.4101745,56013.0109
Zambia,2016,102.0,3389268.844,2762.802921,3044.403,2033.755011,269.2047345,199804.7015
Zimbabwe,2016,95.0,2149849.802,2673.109249,4237.443,8209.548835,1174.073488,146856.7365
Botswana,2016,91.0,447655.4513,527.4786148,175.82,210.983374,152.2569628,14865.88632
Eswatini,2016,101.0,436225.0085,180.5484349,36.025,655.792831,63.02782473,1867.358616
Lesotho,2016,110.0,239329.5465,107.8281725,325.596,75.023278,54.06673693,2724.611932
Namibia,2016,102.0,511725.6619,961.3244246,138.0,1045.446659,117.9041128,26723.01588
South Africa,2016,98.0,20326709.74,14953.48855,903.402,20886.68734,3962.210667,741630.5107
Belize,2016,84.0,248532.45,123.6068975,28.319,152.88173,67.84295872,37386.89919
Costa Rica,2016,102.0,4647018.116,702.7942725,253.751,8060.408931,317.3600132,183117.1744
El Salvador,2016,105.0,1647586.92,916.5249531,487.324,2744.110988,175.6034527,170660.5111
Guatemala,2016,102.0,8766327.62,2303.464798,1891.364,10963.85971,293.7994115,342259.5915
Honduras,2016,103.0,3471089.053,1670.028773,1048.47,3323.031298,242.7473162,202346.4875
Mexico,2016,103.0,60323823.22,30660.47435,6852.792,14678.15635,11181.78,2718594.199
Nicaragua,2016,103.0,2668589.478,2007.946411,844.92,2270.082504,166.6395764,141328.3683
Panama,2016,98.0,1521733.089,814.2999714,283.812,2041.149859,471.2742261,42314.10731
Bahamas,2016,97.0,52289.23162,12.68557306,4.545,227.582842,4.719332375,2941.301541
Cuba,2016,103.0,4904546.364,3954.11755,916.887,3172.862377,3052.08,151394.4177
Dominican Republic,2016,102.0,4939614.301,1459.831737,394.281,6649.158492,72.7704585,195872.8673
Haiti,2016,97.0,1938405.81,1425.314993,1249.248,1477.026081,6.28365566,23601.74407
Jamaica,2016,109.0,836553.8908,241.0379528,208.675,698.327126,116.4872215,13384.02413
Lesser Antilles,2016,101.0,464623.0647,131.1669479,70.015,254.149422,141.6789554,5535.241797
Puerto Rico (USA),2016,101.0,383765.843,89.42589027,11.194,1501.507494,112.8798558,19653.36616
Trinidad and Tobago,2016,107.0,178099.7539,51.59056262,21.046,45.122067,159.0085767,17533.19193
French Guiana (France),2016,101.0,48782.33939,22.75810596,12.0,32.32857801,18.272,137.6104315
Guyana,2016,89.0,573878.8648,582.2364798,43.343,506.918059,152.5293697,25994.65975
Suriname,2016,100.0,205689.7768,115.9236089,16.198,675.965643,49.85097517,16092.87837
Venezuela,2016,98.0,7861334.771,4502.414033,913.093,5209.790625,2064.474848,621836.868
Bolivia,2016,95.0,6592853.767,5945.342129,1454.867,4720.484726,286.3864042,131078.8856
Colombia,2016,102.0,23931004.9,6829.989612,3716.778,14959.68581,966.9855848,1298173.938
Ecuador,2016,89.0,11284833.18,4104.886338,2067.278,9366.611788,771.1888053,483599.1375
Peru,2016,102.0,15497259.95,8631.847458,4662.635,10487.07876,574.4958607,567513.4825
Brazil,2016,97.0,222683198.1,75190.04598,9200.0,213116.0995,44063.71111,16738914.97
Argentina,2016,92.0,69074014.4,40856.06964,1023.568303,61030.3947,11078.91172,2004055.464
Chile,2016,98.0,16132116.39,3181.146209,795.85,15011.76112,2302.122299,543085.9847
Paraguay,2016,96.0,9168599.726,5386.025835,674.421,3862.284671,1240.689136,480109.4474
Uruguay,2016,99.0,6001259.204,2689.173681,132.698,5926.136834,1371.698615,393913.7126
Japan,2016,101.0,28936222.86,5786.303544,2220.0,142627.3197,73646.87092,1152204.865
"Korea, Republic",2016,102.0,16998737.44,2040.884712,1307.184,59430.53907,18585.97253,850204.5955
Taiwan,2016,97.0,7679070.447,996.9201849,557.0,9107.06906,1086.776,312439.3184
China,2016,101.0,987255610.7,192487.07,214968.457,1221573.394,1322169.952,54007726.71
"Korea, DPR",2016,98.0,5651294.647,3372.443193,7025.211,3745.1734,2568.0,248804.9372
Mongolia,2016,93.0,2085264.0,7724.709922,360.131,3654.199635,207.2819982,176890.5592
Brunei Darussalam,2016,91.0,71202.15972,10.82631819,1.934,251.460326,3.781746,4491.927675
Cambodia,2016,110.0,7446698.5,4322.028498,3320.515,3191.651731,933.13507,143384.5879
Indonesia,2016,101.0,109213617.8,54083.90833,38034.912,181165.4249,4573.994865,6609097.593
Laos,2016,99.0,5195711.477,2126.627857,2299.565,2119.728434,172.7056765,59715.13142
Malaysia,2016,96.0,17663011.63,8582.344107,1609.9,69238.27686,3855.777238,2033354.464
Myanmar,2016,99.0,34596776.07,13930.08354,11158.72324,10569.98958,5496.594428,771791.5231
Philippines,2016,99.0,34502155.34,12201.53177,11063.69675,44263.88902,46714.18356,1090358.782
Thailand,2016,105.0,49798199.58,25422.28056,11746.615,72230.59512,36582.83453,2305651.759
Timor-Leste,2016,96.0,218775.4656,260.6747452,191.295,427.044655,19.53612264,6577.036946
Vietnam,2016,100.0,58853880.46,14473.34673,22952.738,28793.66528,18040.5065,3325889.616
Fiji,2016,78.0,183171.6002,262.4353509,65.097,277.984975,379.1774371,10907.37511
New Caledonia (France),2016,95.0,48938.05986,25.71117581,2.343,194.634777,80.86,2211.554282
Papua New Guinea,2016,98.0,3710902.091,1010.747923,1424.168,3799.67783,105.566933,48784.92073
Solomon Islands,2016,104.0,134125.9628,106.4525441,121.456,288.989605,0.629808619,504.7072218
Vanuatu,2016,96.0,102326.2561,147.3758568,69.45,217.213107,4.241944732,1574.712803
Micronesia,2016,102.0,63951.02957,74.69911874,37.191,147.961422,8.20533494,738.2976241
Polynesia,2016,97.0,160772.5172,141.0023967,37.478,240.855713,32.9528878,3647.699092
Bangladesh,2016,98.0,41272535.16,18405.92859,25995.471,21795.61869,19481.05198,2555027.474
Bhutan,2016,108.0,296109.9881,188.0292582,199.705,268.024257,10.64790011,3470.411698
India,2016,104.0,398668934.0,294763.5778,202620.709,542854.3312,336924.6412,28197845.65
Nepal,2016,100.0,9102636.2,4860.856563,9793.846,3854.386711,2011.681825,249760.9442
Pakistan,2016,96.0,63223413.86,67614.61787,24996.538,97060.36646,26551.38113,5828254.652
Sri Lanka,2016,101.0,5040490.438,3460.223261,2153.874,13357.41666,2062.50741,249072.0836
Armenia,2016,159.0,1864764.806,884.9857824,338.055,106.646085,630.4292611,12666.45655
Azerbaijan,2016,105.0,4529059.484,4638.141751,1729.6,5819.543049,970.4598914,79007.63923
Georgia,2016,96.0,1129693.997,1203.868162,749.978,1221.687929,1051.670466,74633.1376
Bahrain,2016,106.0,188574.2833,11.1943273,8.383,111.445227,0.197074165,2710.597365
Cyprus,2016,103.0,493147.4487,170.0047332,19.127,1747.262776,472.1524595,34967.22472
Iran,2016,98.0,42932093.15,32778.64276,4182.691,38292.82263,12375.07451,1362495.178
Iraq,2016,94.0,3098309.512,11072.60814,1729.585,4904.255624,4011.595527,302622.8579
Israel,2016,99.0,4372654.515,892.9751916,37.136,6192.054903,1075.278802,93665.34641
West Bank and Gaza,2016,114.0,721654.0,352.5836745,68.372,1614.59153,271.8900198,992.4840328
Jordan,2016,99.0,2134975.696,515.541047,57.173,2658.379544,304.1204684,22864.74389
Kuwait,2016,111.0,619202.9767,46.49584203,44.517,583.952877,3.093794461,19034.06437
Lebanon,2016,105.0,1983373.782,420.2831235,267.921,1797.753835,297.996556,40285.15427
Oman,2016,105.0,901052.1062,254.65205,107.277,719.932046,8.530532675,27112.68905
Qatar,2016,79.0,108912.3009,52.31360566,24.416,72.17734652,3.310475885,4719.360659
Saudi Arabia,2016,104.0,5536752.31,10323.65293,638.124,16675.45031,346.7630331,337840.3866
Syria,2016,101.0,6629051.213,8057.09454,558.745,4393.143133,3204.3924,9954.271379
Turkey,2016,99.0,64865405.03,32533.15517,5361.176,103309.5935,47338.46683,2884471.647
United Arab Emirates,2016,110.0,1117391.971,227.1204791,117.377,3777.252077,2.641520935,34488.66972
Yemen,2016,84.0,2574650.0,3016.594888,1546.19,1706.248089,160.6257709,32134.28099
Afghanistan,2016,100.0,6107996.712,11529.77344,3886.237,6168.473473,12.30274321,192586.1282
Kyrgyzstan,2016,104.0,3282746.536,2509.071259,633.301,1103.390237,1082.278523,64932.68944
Tajikistan,2016,99.0,3095097.745,1691.246133,964.4002122,1686.573625,682.9127493,66290.52892
Turkmenistan,2016,101.0,4105230.023,4566.243664,880.3437789,2720.579839,2625.935519,512137.3802
Uzbekistan,2016,97.0,23556803.6,8828.530088,3634.203,17011.79346,7282.640713,1197231.617
Algeria,2016,105.0,14329535.73,18488.73281,1123.712,22189.01115,5109.297199,236433.7889
Egypt,2016,98.0,37610521.22,29167.7654,6478.0,28172.44784,5046.983883,1616076.177
Libya,2016,101.0,1798486.301,5098.436564,339.978,7253.366711,1039.136057,38753.90351
Morocco,2016,80.0,13296598.07,22998.54286,3841.867,22910.83751,2315.975145,412533.021
Tunisia,2016,82.0,5988324.249,8352.82853,503.248,7789.532672,1898.850917,183751.7437
Belarus,2016,106.0,11147781.4,6070.195544,464.89,17847.6352,2276.624212,1030042.742
Kazakhstan,2016,108.0,15587443.92,48590.34341,1383.4,8688.382383,2144.09315,314833.9974
Moldova,2016,102.0,2732257.754,2135.407088,363.356,858.2621334,1790.863069,110175.016
Russian Federation,2016,99.0,91828735.47,134560.9475,4863.16,112970.5181,12557.17249,4315462.236
Ukraine,2016,106.0,46016183.71,35645.79666,2539.1,23327.90976,15249.24475,2021135.721
Albania,2016,101.0,2141172.594,949.9772433,451.686,4203.027025,328.7476236,75969.48672
Bulgaria,2016,102.0,5174633.125,3844.775352,203.74,5455.974545,2948.299481,577934.4142
Czechia,2016,104.0,5999659.104,2654.581018,149.078,13279.36427,3176.391025,517889.8566
Slovakia,2016,113.0,2371274.216,1450.761574,71.935,12416.18447,1051.613313,216074.6754
Hungary,2016,107.0,9986552.84,4703.802768,219.14,22812.24679,5102.439346,571606.4364
Poland,2016,109.0,31184250.12,11652.42209,1675.8,21673.30478,82920.89402,2420177.964
Romania,2016,106.0,14839825.12,11220.22855,1955.476,30526.06627,8320.314001,1152395.961
Croatia,2016,108.0,2920625.379,1019.141993,121.783,6824.460749,1302.373375,222478.6126
Slovenia,2016,106.0,977479.9813,276.7781963,46.352,3917.789261,4428.580221,63084.60718
Bosnia and Herzegovina,2016,107.0,1593015.475,1233.319219,180.459,1074.125073,1320.34485,82992.41265
North Macedonia,2016,100.0,1329219.173,605.1256048,120.741,717.149338,2210.981023,38163.35673
Montenegro,2016,108.0,178925.98,38.46243657,17.404,450.379794,5.444986745,7868.452313
Serbia,2016,112.0,7004749.458,2906.326712,631.455,7102.43076,16979.36835,371616.2065
Estonia,2016,87.0,880406.5097,727.630743,20.3,2728.193369,923.4901951,97165.91801
Latvia,2016,93.0,1726607.008,1355.798746,76.25,5647.196391,2505.988915,208377.3292
Lithuania,2016,92.0,3266201.644,2250.636502,148.8,5899.626662,4531.439996,311023.6042
Finland,2016,102.0,3231350.492,2251.50348,94.292,21834.31036,6321.787152,254339.7245
Iceland,2016,118.0,253358.5955,285.8920154,7.404,2173.355475,457.0167094,23920.49626
Norway,2016,98.0,8427368.984,824.7690861,54.952,24009.05239,3647.674612,210499.6072
Sweden,2016,99.0,4708671.522,2611.696436,91.982,48751.83873,5866.570401,339580.2481
Greece,2016,98.0,11646468.1,5013.149988,454.52,16899.49855,11232.46001,346883.2378
Italy,2016,97.0,40441983.16,13504.06772,884.0,171337.2867,44554.36308,1295986.668
Malta,2016,102.0,126045.0565,13.92921105,5.04,228.880016,98.98932774,3768.386662
Portugal,2016,94.0,6189235.443,2452.502537,251.03,17448.86801,7827.04332,215867.3812
Spain,2016,104.0,52980817.18,21717.12682,774.604,104488.0962,28844.93237,2355313.416
Austria,2016,100.0,6309060.825,1557.723869,183.503,50973.56313,11485.69426,297172.174
Belgium,2016,97.0,8950162.124,924.1415594,55.35,10462.60327,3426.399557,393843.894
Luxembourg,2016,100.0,274018.0,69.72070364,2.378,2425.557452,242.5046484,23753.51416
Denmark,2016,97.0,9588628.343,2481.554843,63.841,31143.51242,3044.203456,491635.9991
France,2016,97.0,57894396.97,20980.50217,751.496,125369.7251,42494.25902,3873128.967
Germany,2016,102.0,52314412.38,12593.59654,539.863,169075.0123,31223.91432,3077357.772
Ireland,2016,101.0,7515677.216,838.5866188,160.7,11328.63285,5988.345833,836479.0613
Netherlands,2016,104.0,18607825.1,1282.052659,175.122,58177.20694,5315.322014,618311.8809
Switzerland,2016,100.0,3864229.819,541.0950594,150.798,51913.52417,4243.684258,133931.8969
United Kingdom,2016,95.0,28173875.7,7182.032401,354.366,70025.44727,15408.66167,2012954.071
Australia,2016,100.0,42021422.36,62805.31164,314.2,102465.9482,15749.10051,2787968.656
New Zealand,2016,96.0,17555298.1,2432.018197,163.75,16190.33704,3875.1949,974097.658
